train/policy_loss,time/fps,train/reward,train/std,train/entropy_loss,train/learning_rate,time/time_elapsed,train/n_updates,time/iterations,time/total_timesteps,train/explained_variance,train/value_loss
-277.573486328125,110,-5.398347,1.0246081352233887,-41.7939453125,0.0007,334,7399,7400,37000,0.0,51.3582763671875
331.57073974609375,110,-2.4867399,1.0265833139419556,-41.853126525878906,0.0007,338,7499,7500,37500,0.0,68.39102935791016
-77.5488510131836,110,0.93399143,1.029982089996338,-41.95348358154297,0.0007,343,7599,7600,38000,-0.4461773633956909,4.461808204650879
-77.73890686035156,110,1.3259287,1.0329729318618774,-42.032012939453125,0.0007,347,7699,7700,38500,0.0,4.143021583557129
-17.89501953125,110,-3.3734586,1.033457636833191,-42.046897888183594,0.0007,352,7799,7800,39000,-2.384185791015625e-07,1.2177588939666748
333.53228759765625,110,1.8521882,1.0338244438171387,-42.05413818359375,0.0007,356,7899,7900,39500,0.0,71.6319808959961
-104.3766098022461,110,1.1510086,1.0348780155181885,-42.08317947387695,0.0007,361,7999,8000,40000,0.0,10.065482139587402
-87.85295867919922,110,5.248018,1.038145661354065,-42.1784553527832,0.0007,365,8099,8100,40500,0.0,14.238286972045898
-13.44189453125,110,-0.35574263,1.0399714708328247,-42.226478576660156,0.0007,370,8199,8200,41000,0.0,0.2563258409500122
42.79499053955078,110,-1.0011734,1.0407685041427612,-42.24702835083008,0.0007,374,8299,8300,41500,0.0,1.9337501525878906
-34.065914154052734,110,-2.5738544,1.0387871265411377,-42.18571472167969,0.0007,379,8399,8400,42000,5.960464477539063e-08,1.582311987876892
82.14002990722656,110,1.6294029,1.0402837991714478,-42.230506896972656,0.0007,384,8499,8500,42500,0.0,4.186493873596191
39.33617401123047,110,-9.2032585,1.0421735048294067,-42.28855514526367,0.0007,388,8599,8600,43000,1.1920928955078125e-07,22.38961410522461
44.620880126953125,110,2.3693016,1.0407872200012207,-42.23690414428711,0.0007,393,8699,8700,43500,0.0,2.088259696960449
-103.0162353515625,110,1.3828152,1.0418208837509155,-42.27536392211914,0.0007,397,8799,8800,44000,0.0,6.587693691253662
99.8588638305664,110,0.38429624,1.040279507637024,-42.23347091674805,0.0007,402,8899,8900,44500,0.34213346242904663,6.851133823394775
53.457305908203125,110,-0.30215117,1.0417941808700562,-42.281776428222656,0.0007,406,8999,9000,45000,0.0,4.434328556060791
14.723703384399414,110,2.6320786,1.0422978401184082,-42.294803619384766,0.0007,411,9099,9100,45500,-1.1920928955078125e-07,0.5862754583358765
31.458044052124023,110,2.5407119,1.0423728227615356,-42.29079055786133,0.0007,416,9199,9200,46000,-1.1920928955078125e-07,8.240694999694824
-186.35205078125,110,0.85856944,1.0395680665969849,-42.21528244018555,0.0007,420,9299,9300,46500,-0.12184739112854004,21.38296127319336
131.1422119140625,110,0.08303239,1.0409752130508423,-42.25548553466797,0.0007,425,9399,9400,47000,0.0,12.560195922851562
107.16545104980469,110,0.96172416,1.0433822870254517,-42.328041076660156,0.0007,429,9499,9500,47500,0.0,9.634332656860352
-94.3799819946289,110,-0.9756382,1.0446232557296753,-42.35181427001953,0.0007,434,9599,9600,48000,1.1920928955078125e-07,6.45773458480835
111.96334075927734,110,0.7691903,1.0407655239105225,-42.253318786621094,0.0007,439,9699,9700,48500,-1.1920928955078125e-07,12.921133041381836
162.77609252929688,110,6.826923,1.0422624349594116,-42.295082092285156,0.0007,443,9799,9800,49000,0.0,38.4676628112793
22.77594757080078,110,-0.12725718,1.0428144931793213,-42.30497741699219,0.0007,448,9899,9900,49500,0.0,0.48924922943115234
10.630636215209961,110,-1.0463289,1.0449378490447998,-42.35972595214844,0.0007,453,9999,10000,50000,0.0,1.018660306930542
